Country Name,Country Code,"2019 [YR2019] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2019 [YR2019] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2019 [YR2019] - Population density (people per sq. km of land area) [EN.POP.DNST],2019 [YR2019] - Rural population (% of total population) [SP.RUR.TOTL.ZS],"2019 [YR2019] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"
Belgium,BEL,81.9951219512195,46641.7214017087,379.424702774108,1.959,1.6
Denmark,DNK,81.4512195121951,59592.9806886454,145.36055,12.006,1.7
Greece,GRC,81.6390243902439,19143.8876174584,83.1775174553918,20.612,1.34
Spain,ESP,83.8317073170732,29581.5185513299,94.3508089023978,19.435,1.23
Finland,FIN,81.9829268292683,48629.8582283032,18.1673609054717,14.554,1.35
France,FRA,82.8268292682927,40494.8982936276,123.070294051578,19.291,1.86
Ireland,IRL,82.7024390243903,80848.3019020489,71.6263608651473,36.595,1.71
Italy,ITA,83.4975609756098,33673.7509627421,201.980545589195,29.264,1.27
Luxembourg,LUX,82.6390243902439,112726.439672814,240.827591028798,8.777,1.34
Netherlands,NLD,82.1121951219512,52476.2732533327,515.143272943273,8.124,1.57
Austria,AUT,81.8951219512195,50067.5857265892,107.609306834707,41.485,1.46
Portugal,PRT,81.6756097560976,23330.817288932,112.288582794065,34.236,1.43
Sweden,SWE,83.109756097561,51939.4297445291,25.2376654802124,12.292,1.71
Germany,DEU,81.2926829268293,46805.1384334439,237.822954291766,22.624,1.54
United Kingdom,GBR,81.4048780487805,42662.5353740311,276.263080229819,16.348,1.63
Bulgaria,BGR,75.1121951219512,9874.33632625168,64.2571941783346,24.653,1.58
Cyprus,CYP,81.397,29420,132.990909090909,33.195,1.332
Czechia,CZE,79.2292682926829,23664.8478631108,138.226810266108,26.079,1.71
Estonia,EST,78.6463414634147,23424.4847073518,31.0385497076023,30.949,1.66
Hungary,HUN,76.3195121951219,16786.2136399075,107.069263642341,28.356,1.55
Latvia,LVA,75.3878048780488,17883.3494113217,30.755491989008,31.778,1.61
Lithuania,LTU,76.2829268292683,19615.5491450175,44.6205206004471,32.145,1.61
Malta,MLT,82.8585365853659,31727.0070746362,1575.19375,5.322,1.14
Poland,POL,77.9048780487805,15700.0135796738,124.025595374212,39.963,1.44
Romania,ROU,75.6073170731707,12957.9991142218,84.1952712100139,45.916,1.77
Slovak Republic,SVK,77.6658536585366,19381.8905468746,113.43899750416,46.271,1.57
Slovenia,SVN,81.5292682926829,26042.4463468032,103.711934605987,45.178,1.61
Croatia,HRV,78.4243902439025,15120.9029026824,72.6405010363805,42.758,1.47
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 02/21/2024,,,,,,
